Polymer,Polymer CAS,Polymer SMILES,Solvent,Solvent CAS,Solvent SMILES,Mw(Da),PDI,ϕ,w,P(Mpa),CP(°C),1-Phase,Ref.
polystyrene,9003-53-6,*C(C*)c1ccccc1,nitroethane,79-24-3,CC[N+](=O)[O-],13500,1.06,0.0999,0.0999,5.37,6.24,positive,doi.org/10.1006/jcht.1999.0607
polystyrene,9003-53-6,*C(C*)c1ccccc1,propionitrile,107-12-0,CCC#N,22100,1.03,0.20245,0.2499,1.28,77.66,positive,doi.org/10.1021/ma9517308
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,45300,1.01,0.149,NaN,0.1,14.14,positive,doi.org/10.1002/pol.1981.180190913
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,600000,1.1,0.01065,0.0143,0.1,27.74,positive,doi.org/10.1007/BF01525017
polystyrene,9003-53-6,*C(C*)c1ccccc1,2-propanone,67-64-1,CC(=O)C,16600,1.05,0.1419,0.18,3.25,24.85,positive,doi.org/10.1039/B109405J
polystyrene,9003-53-6,*C(C*)c1ccccc1,methylcyclohexane,108-87-2,CC1CCCCC1,719000,1.06,0.1076,NaN,0.1,59.83,positive,doi.org/10.1063/1.439127
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,423300,1.24,0.06063,0.08003,0.1,25.41,positive,See 1986KRU in ISBN: 9781420067989
polystyrene,9003-53-6,*C(C*)c1ccccc1,methylcyclohexane,108-87-2,CC1CCCCC1,405000,2.83,0.03563,0.0482,7.37,55.51,positive,doi.org/10.1016/S0378-3812(97)00157-X
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,239000,2.78,0.0879,NaN,0.1,26.17,positive,doi.org/10.1103/PhysRevE.55.3159
polystyrene,9003-53-6,*C(C*)c1ccccc1,acetaldehyde,75-07-0,CC=O,4140,1.03,0.13206,0.17,4.48,117.05,negative,"See 1997DES in ISBN: 9781420067989, doi.org/10.1002/(SICI)1099-0488(199703)35:4<631::AID-POLB11>3.0.CO;2-H"
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,123000,1.06,0.064,NaN,0.1,21.41,positive,doi.org/10.1039/B301190A
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,189000,1.02,0.0309,NaN,0.1,23.44,positive,doi.org/10.1103/PhysRevE.55.3159
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,100000,1.06,0.00371,0.005,0.1,238.8,negative,doi.org/10.1002/app.1993.070470707
polystyrene,9003-53-6,*C(C*)c1ccccc1,methylcyclohexane,108-87-2,CC1CCCCC1,297000,5.45,0.11247,0.148,0.1,54.19,positive,See 1988SC2 in ISBN: 9781420067989
polystyrene,9003-53-6,*C(C*)c1ccccc1,nitroethane,79-24-3,CC[N+](=O)[O-],30740,1.06,0.0727,0.0727,2.33,22.8,positive,doi.org/10.1006/jcht.1999.0607
polystyrene,9003-53-6,*C(C*)c1ccccc1,methylcyclohexane,108-87-2,CC1CCCCC1,405000,2.83,0.03563,0.0482,69.26,43.69,positive,doi.org/10.1016/S0378-3812(97)00157-X
polystyrene,9003-53-6,*C(C*)c1ccccc1,propionitrile,107-12-0,CCC#N,25000,1.06,0.1432,0.1799,4.92,92.85,positive,doi.org/10.1021/ma9517308
polystyrene,9003-53-6,*C(C*)c1ccccc1,methylcyclohexane,108-87-2,CC1CCCCC1,18700,1.06,0.1822,NaN,0.1,23.4,positive,doi.org/10.1063/1.479914
polystyrene,9003-53-6,*C(C*)c1ccccc1,methylcyclohexane,108-87-2,CC1CCCCC1,16100,1.06,0.13168,0.1721,68.84,19.8,positive,doi.org/10.1063/1.464440
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclopentane,287-92-3,C1CCCC1,184000,1.07,0.02971,0.04137,0.1,5.4,positive,doi.org/10.1627/jpi1958.33.117
polystyrene,9003-53-6,*C(C*)c1ccccc1,methyl acetate,79-20-9,COC(=O)C,190000,1.04,0.03263,0.0368,0.1,26.93,positive,doi.org/10.1016/S0378-3812(99)00128-4
polystyrene,9003-53-6,*C(C*)c1ccccc1,methylcyclohexane,108-87-2,CC1CCCCC1,17200,1.06,0.34,NaN,0.1,20.34,positive,doi.org/10.1063/1.446753
polystyrene,9003-53-6,*C(C*)c1ccccc1,dodecadeuterocyclohexane,1735-17-7,[2H]C1([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C1([2H])[2H],2000000,1.3,0.049,NaN,0.1,33.92,positive,doi.org/10.1039/B301190A
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,200000,1.02,0.0226,NaN,0.1,23.17,positive,doi.org/10.1063/1.430349
polystyrene,9003-53-6,*C(C*)c1ccccc1,methylcyclohexane,108-87-2,CC1CCCCC1,16100,1.06,0.07483,0.0998,77.57,19.98,positive,doi.org/10.1063/1.464440
