,|M|n|||4|||elm|C-C-C.R,|M|n|||4|||elm|C-C.C-R,|M|n|||4|||elm|C.C-C-R,|M|n|||4|||elm|C.C-C-C,|M|n|||4|||elm|C-C.C-C,|M|n|||4|||elm|C.C-C=C,|M|n|||4|||elm|C-C.C=C,|S|n|||4|||elm|C-C(-C)-C,|S|n|||4|||elm|C(-C-R)-R,|S|n|||4|||elm|C-C.C-C,|S|n|||4|||elm|C-C-C=C,|S|n|||4|||elm|C.C-C=C,|S|n|||4|||elm|C-C-C-C,|S|n|||4|||elm|C-C-C-R,|S|n|||4|||elm|C.C-C-C,|S|n|||4|||elm|C-C(-C)=C,|S|n|||4|||elm|C-C.C-R,|S|n|||4|||elm|C-C=C.R,|S|n|||4|||elm|C-R.C=C,|S|n|||4|||elm|C(-C=C)=C,|S|n|||4|||elm|C-C-R.R,|S|n|||4|||elm|C-C(-C)-R,|S|n|||4|||elm|C(-C-R)=C,|S|n|||4|||elm|C-C=C-C,|S|n|||4|||elm|C.C-C-R,|S|n|||4|||elm|C-C.C=C,|S|n|||4|||elm|C-C-C.R,|M|n|||4|||elm|C-C-O.R,|M|n|||4|||elm|C-O.C-R,|M|n|||4|||elm|C-C-R.O,|M|n|||4|||elm|C.C-C-O,|M|n|||4|||elm|C-C.C-O,|M|n|||4|||elm|C-C-C.O,|M|n|||4|||elm|C-C=C.O,|M|n|||4|||elm|C-O.C=C,|S|n|||4|||elm|C-C(-C)-O,|S|n|||4|||elm|C-C-C-O,|S|n|||4|||elm|C-C.C-O,|S|n|||4|||elm|C.C-C-O,|S|n|||4|||elm|C-C-C.O,|M|n|||4|||elm|C-C-N.R,|M|n|||4|||elm|C-N=O.R,|M|n|||4|||elm|C-N-O.R,|M|n|||4|||elm|N(-O)=O.R,|M|n|||4|||elm|C-N.C-R,|M|n|||4|||elm|C-R.N=O,|M|n|||4|||elm|C-R.N-O,|M|n|||4|||elm|C-C-R.N,|M|n|||4|||elm|C.C-C-N,|M|n|||4|||elm|C.C-N=O,|M|n|||4|||elm|C.C-N-O,|M|n|||4|||elm|C.N(-O)=O,|M|n|||4|||elm|C-C.C-N,|M|n|||4|||elm|C-C.N=O,|M|n|||4|||elm|C-C.N-O,|M|n|||4|||elm|C-C-C.N,|M|n|||4|||elm|C-C=C.N,|M|n|||4|||elm|C-N.C=C,|M|n|||4|||elm|C=C.N=O,|M|n|||4|||elm|C=C.N-O,|S|n|||4|||elm|C-N(-O)=O,|S|n|||4|||elm|C.N(-O)=O,|S|n|||4|||elm|C-C-N=O,|S|n|||4|||elm|C-C-N-O,|M|n|||4|||elm|C-O-C.R,|M|n|||4|||elm|C(-O)=O.R,|M|n|||4|||elm|C-C=O.R,|M|n|||4|||elm|C-R.C=O,|M|n|||4|||elm|C.C-O-C,|M|n|||4|||elm|C.C(-O)=O,|M|n|||4|||elm|C.C-C=O,|M|n|||4|||elm|C-C.C=O,|M|n|||4|||elm|C=C.C=O,|S|n|||4|||elm|C-C-O-C,|S|n|||4|||elm|C-C(-O)=O,|S|n|||4|||elm|C-C.C=O,|S|n|||4|||elm|C.C(-O)=O,|S|n|||4|||elm|C-C-O.O,|S|n|||4|||elm|C.C-C=O,|S|n|||4|||elm|C-O-C=O,|M|n|||4|||elm|C-C#N.R,|M|n|||4|||elm|C#N.C-R,|M|n|||4|||elm|C.C-C#N,|M|n|||4|||elm|C#N.C-C,|M|n|||4|||elm|C#N.C=C,|S|n|||4|||elm|C-C-C#N,|S|n|||4|||elm|C-C(-C)=O,|M|n|||4|||elm|C-C=C.R,|M|n|||4|||elm|C-R.C=C,|M|n|||4|||elm|C=C.C=C,|S|n|||4|||elm|C=C.C=O,|S|n|||4|||elm|C(-C-O)=C,|S|n|||4|||elm|C-O-C.O,|S|n|||4|||elm|C-C-C=O,|S|n|||4|||elm|C(-C=O)=C,|S|n|||4|||elm|C-C=C.O,|S|n|||4|||elm|C(-O)=O.O,|S|n|||4|||elm|C=O.C=O,|S|n|||4|||elm|C.C-O-C,|S|n|||4|||elm|C-C=O.O,|S|n|||4|||elm|C-O.C=C,|S|n|||4|||elm|C-O.C-O,|S|n|||4|||elm|C-O.C=O,|M|n|||4|||elm|C(-H)-H.R,|M|n|||4|||elm|C-C-H.R,|M|n|||4|||elm|C-H.C-R,|M|n|||4|||elm|C-C-R.H,|M|n|||4|||elm|C.C(-H)-H,|M|n|||4|||elm|C.C-C-H,|M|n|||4|||elm|C-C.C-H,|M|n|||4|||elm|C-C-C.H,|M|n|||4|||elm|C-C=C.H,|M|n|||4|||elm|C-H.C=C,|S|n|||4|||elm|C(-H)(-H)-H,|S|n|||4|||elm|C-H.C-H,|S|n|||4|||elm|C.C(-H)-H,|S|n|||4|||elm|C-C-H.H,|S|n|||4|||elm|C(-H)-H.O,|S|n|||4|||elm|C-C(-H)-H,|S|n|||4|||elm|C-C=O.H,|S|n|||4|||elm|C-C-C-H,|S|n|||4|||elm|C(-C=O)-H,|S|n|||4|||elm|C(-H)-H.H,|M|n|||4|||elm|C-C-O.O,|M|n|||4|||elm|C(-O)-R.O,|M|n|||4|||elm|C-O-C.O,|S|n|||4|||elm|C(-C-R)-O,|S|n|||4|||elm|C-O-C-R,|S|n|||4|||elm|C-C(-O)-R,|S|n|||4|||elm|C-O-C.R,|S|n|||4|||elm|C-O.C-R,|S|n|||4|||elm|C(-O)-R.R,|M|n|||4|||elm|H-O-H.R,|M|n|||4|||elm|C-R.H-O,|M|n|||4|||elm|C.H-O-H,|M|n|||4|||elm|C-C.H-O,|M|n|||4|||elm|C-C-O.H,|M|n|||4|||elm|C(-O)-R.H,|M|n|||4|||elm|C-O.H-O,|M|n|||4|||elm|C-O-C.H,|M|n|||4|||elm|H-O-H.O,|M|n|||4|||elm|C.C-C-Cl,|M|n|||4|||elm|C.C(-Cl)-R,|M|n|||4|||elm|C-C.C-Cl,|M|n|||4|||elm|C-Cl.C=C,|M|n|||4|||elm|C-C=C.Cl,|M|n|||4|||elm|C-C-C.Cl,|S|n|||4|||elm|C-C(-Cl)-R,|S|n|||4|||elm|C(-C-R)-Cl,|S|n|||4|||elm|C(-Cl)-R.R,|M|n|||4|||elm|C=C-O.R,|M|n|||4|||elm|C.C=C-O,|M|n|||4|||elm|C-C-Cl.O,|M|n|||4|||elm|C(-Cl)-R.O,|M|n|||4|||elm|C-Cl.C-O,|M|n|||4|||elm|C-C-O.Cl,|M|n|||4|||elm|C-O-C.Cl,|M|n|||4|||elm|C=C-O.Cl,|S|n|||4|||elm|C=C-O-C,|S|n|||4|||elm|C-C(=C)-O,|S|n|||4|||elm|C-C=C-O,|S|n|||4|||elm|C.C=C-O,|M|n|||4|||elm|C-O.C-O,|M|n|||4|||elm|C.C(-O)-R,|S|n|||4|||elm|C(-C-O)-O,|S|n|||4|||elm|C-C-O.R,|S|n|||4|||elm|C(-O)-R.O,|S|n|||4|||elm|C-C=O.R,|S|n|||4|||elm|C-R.C=O,|S|n|||4|||elm|C.C(-O)-R,|S|n|||4|||elm|C-C-R.O,|S|n|||4|||elm|C(-O)=O.R,|M|n|||4|||elm|C-C-N.O,|M|n|||4|||elm|C-N-C.O,|M|n|||4|||elm|C(-N)=O.O,|M|n|||4|||elm|C-C=O.O,|S|n|||4|||elm|C-C.C-N,|S|n|||4|||elm|C.C-N-C,|S|n|||4|||elm|C-N-C.R,|S|n|||4|||elm|C-C-N-C,|S|n|||4|||elm|C-C-N.O,|S|n|||4|||elm|C-C-R.N,|S|n|||4|||elm|C(-C-R)-N,|S|n|||4|||elm|C-N-C=O,|S|n|||4|||elm|C-C-C-N,|S|n|||4|||elm|C-N.C-R,|S|n|||4|||elm|C(-C-R)=O,|S|n|||4|||elm|C-C-N.R,|S|n|||4|||elm|C-C(-C)-N,|S|n|||4|||elm|C(-N)=O.R,|S|n|||4|||elm|C.C-C-N,|S|n|||4|||elm|C-C(-N)=O,|S|n|||4|||elm|C.C(-N)=O,|M|n|||4|||elm|C(-O)=O.O,|M|n|||4|||elm|C-O.C=O,|M|n|||4|||elm|C=O.C=O,|M|n|||4|||elm|C.C-C-S,|M|n|||4|||elm|C.C-S=O,|M|n|||4|||elm|C.C-S-C,|M|n|||4|||elm|C.O=S=O,|M|n|||4|||elm|C-O.C-S,|M|n|||4|||elm|C-O.O=S,|M|n|||4|||elm|C-O-C.S,|M|n|||4|||elm|C-C-S.O,|M|n|||4|||elm|C-S=O.O,|M|n|||4|||elm|C-S-C.O,|M|n|||4|||elm|O.O=S=O,|M|n|||4|||elm|C(-O)=O.S,|M|n|||4|||elm|C-C-O.S,|M|n|||4|||elm|C-S.C=O,|M|n|||4|||elm|C=O.O=S,|M|n|||4|||elm|C-C=O.S,|M|n|||4|||elm|C-C.C-S,|M|n|||4|||elm|C-C.O=S,|M|n|||4|||elm|C-C-C.S,|M|n|||4|||elm|C-C-R.S,|M|n|||4|||elm|C-R.C-S,|M|n|||4|||elm|C-R.O=S,|M|n|||4|||elm|C-C-S.R,|M|n|||4|||elm|C-S=O.R,|M|n|||4|||elm|C-S-C.R,|M|n|||4|||elm|O=S=O.R,|S|n|||4|||elm|C-C-C-S,|S|n|||4|||elm|C-C.O=S,|S|n|||4|||elm|C.C-S=O,|S|n|||4|||elm|C-C-S=O,|S|n|||4|||elm|C-S(=O)=O,|S|n|||4|||elm|C-S(-C)=O,|S|n|||4|||elm|C.O=S=O,|S|n|||4|||elm|C-C-S-C,|M|n|||4|||elm|C-O-R.O,|S|n|||4|||elm|C-R.O-R,|S|n|||4|||elm|C-O-R.R,|S|n|||4|||elm|C-C-O-R,|M|n|||4|||elm|C-C.C-Si,|M|n|||4|||elm|C-O.C-Si,|M|n|||4|||elm|C-Si.C=C,|M|n|||4|||elm|C.C-Si-R,|M|n|||4|||elm|C-Si-R.O,|M|n|||4|||elm|C.C-Si-C,|M|n|||4|||elm|C-Si-C.O,|M|n|||4|||elm|C.C-Si-O,|M|n|||4|||elm|C-Si-O.O,|M|n|||4|||elm|C-C-O.Si,|M|n|||4|||elm|C-O-C.Si,|M|n|||4|||elm|C=C-O.Si,|M|n|||4|||elm|C-C=C.Si,|M|n|||4|||elm|C-C.R-Si,|M|n|||4|||elm|C-O.R-Si,|M|n|||4|||elm|C=C.R-Si,|M|n|||4|||elm|C.O-Si-R,|M|n|||4|||elm|O.O-Si-R,|M|n|||4|||elm|C-C.O-Si,|M|n|||4|||elm|C-O.O-Si,|M|n|||4|||elm|C=C.O-Si,|M|n|||4|||elm|C.O(-R)-Si,|M|n|||4|||elm|O.O(-R)-Si,|M|n|||4|||elm|C=C-O.O,|M|n|||4|||elm|C-C.O-R,|M|n|||4|||elm|C-O.O-R,|M|n|||4|||elm|C=C.O-R,|S|n|||4|||elm|C-Si-O-R,|S|n|||4|||elm|C-Si(-C)-R,|S|n|||4|||elm|C-Si(-O)-R,|S|n|||4|||elm|C-Si-R.R,|S|n|||4|||elm|C-Si-C.R,|S|n|||4|||elm|O(-R)-Si-R,|S|n|||4|||elm|C-Si(-C)-O,|M|n|||4|||elm|C-Si.C=O,|M|n|||4|||elm|C-C=O.Si,|M|n|||4|||elm|C-C-C.Si,|M|n|||4|||elm|C=O.R-Si,|M|n|||4|||elm|C=O.O-Si,|M|n|||4|||elm|C=O.O-R,|M|n|||4|||elm|C-Si.C-Si,|M|n|||4|||elm|C-Si-R.Si,|M|n|||4|||elm|C-Si-C.Si,|M|n|||4|||elm|C-Si-O.Si,|M|n|||4|||elm|C-Si.R-Si,|M|n|||4|||elm|O-Si-R.Si,|M|n|||4|||elm|C-Si.O-Si,|M|n|||4|||elm|O(-R)-Si.Si,|M|n|||4|||elm|C-Si-C.R,|M|n|||4|||elm|C-Si.O-R,|S|n|||4|||elm|C-Si(-C)-C,|M|n|||4|||elm|C-N-R.O,|S|n|||4|||elm|C-N-R.R,|S|n|||4|||elm|C.C-N-R,|S|n|||4|||elm|C-N-R.O,|S|n|||4|||elm|C-R.N-R,|S|n|||4|||elm|C-N(-C)-R,|S|n|||4|||elm|C-C.N-R,|S|n|||4|||elm|C-C-N-R,|S|n|||4|||elm|C(-N-R)=O,|M|n|||4|||elm|C.C-O-R,|M|n|||4|||elm|C.C=C-R,|S|n|||4|||elm|C.C=C-R,|S|n|||4|||elm|C=C-R.R,|S|n|||4|||elm|C=C-O-R,|S|n|||4|||elm|C=C.O-R,|S|n|||4|||elm|C.C-O-R,|S|n|||4|||elm|C-C(=C)-R,|S|n|||4|||elm|C=C-O.R,|S|n|||4|||elm|C-C.O-R,|S|n|||4|||elm|C-C=C-R,|S|n|||4|||elm|C=C-R.O,|M|n|||4|||elm|C(-O)-O.O,|S|n|||4|||elm|C.C(-O)-O,|S|n|||4|||elm|C-O.O-R,|S|n|||4|||elm|C(-O)-O.R,|S|n|||4|||elm|C-O-C-O,|S|n|||4|||elm|C(-O)-O-R
"('polystyrene', 'butyl acetate')",4,8,18,28,20,42,12,0,1,6,2,17,2,2,9,1,5,13,5,3,1,1,1,4,13,6,1,4,4,6,16,10,4,14,6,0,1,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,8,8,8,5,3,2,1,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('polystyrene', '2,3-dimethylbutane')",12,10,18,60,25,42,15,2,1,3,2,17,5,2,9,1,5,13,5,3,1,1,1,4,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('polystyrene', 'n-hexane')",8,10,18,44,25,42,15,0,1,6,2,17,4,2,11,1,5,13,5,3,1,1,1,4,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('polystyrene', 'n-octane')",12,14,24,64,35,56,21,0,1,13,2,17,6,2,25,1,5,13,5,3,1,1,1,4,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('polystyrene', '2-methylpentane')",10,10,18,52,25,42,15,1,1,5,2,17,4,2,11,1,5,13,5,3,1,1,1,4,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('polystyrene', '3-methylpentane')",10,10,18,52,25,42,15,1,1,4,2,17,5,2,9,1,5,13,5,3,1,1,1,4,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('polystyrene', 'diethyl malonate')",2,8,21,22,20,49,12,0,1,8,2,17,1,2,9,1,5,13,5,3,1,1,1,4,13,6,1,8,8,12,32,20,8,28,12,0,2,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,16,16,16,10,6,4,2,4,8,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,1,6,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('polystyrene', 'n-hexadecane')",28,30,48,144,75,112,45,0,1,81,2,17,14,2,161,1,5,13,5,3,1,1,1,4,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('polypropylene', 'didecyl phthalate')",36,46,84,82,46,24,6,0,1,215,2,178,15,1,416,2,0,0,0,3,1,1,0,5,0,59,0,8,8,12,12,8,4,0,0,0,4,80,94,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,6,6,6,4,0,4,2,42,50,10,48,2,0,0,0,0,0,0,0,16,6,0,4,2,4,2,2,28,4,1,48,4,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('polypropylene', 'dioctyl phthalate')",28,38,72,66,38,24,6,0,1,141,2,146,11,1,268,2,0,0,0,3,1,1,0,5,0,47,0,8,8,12,12,8,4,0,0,0,4,64,78,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,6,6,6,4,0,4,2,34,42,10,40,2,0,0,0,0,0,0,0,16,6,0,4,2,4,2,2,28,4,1,40,4,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('polypropylene', 'diheptyl phthalate')",24,34,66,58,34,24,6,0,1,110,2,130,9,1,206,2,0,0,0,3,1,1,0,5,0,41,0,8,8,12,12,8,4,0,0,0,4,56,70,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,6,6,6,4,0,4,2,30,38,10,36,2,0,0,0,0,0,0,0,16,6,0,4,2,4,2,2,28,4,1,36,4,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
